sentence,label
Thank you for sending more details  : They're pretty handy dandy. more info here: http://t.co/FvlxIRh1F1 #LookforwardtoflywithAA,1
"""Pray more. Sleep more."" How a supermarket cashier is coping with the stress of working through #coronavirus - she's one of our food heroes ?https://t.co/Ga78dGyTkK",1
How we shop in   all lined up outside the supermarket When one leaves one goes in That s me in black second figure from the right I waited 45 mins Foto by  @brookedinger ,2
 - done :),1
A friend sent this over ?? https://t.co/hSwtyy8oPC,1
@20YS @Lysol @TorontoStar @dougquan Sickening that people are trying to make money of a pandemic,0
" : Unhappy with United's service?

Read Ralph Nader's open letter to UAL's CEO.

Leave a comment or RT.

http://t.co/O0745APIau",0
"Banks pressure #healthcare firms to raise prices on critical drugs, medical supplies for #coronavirus https://t.co/G3KnYrOHRt by @lhfang #banksters #Finance #greed",0
How much toilet paper do you actually NEED? https://t.co/qS3HUcIq5U This website calculates it and lets you know! #coronavirus #Toiletpaper,2
"New article on food export restrictions &amp; COVID-19 on @Czapp_portal.

""The irony of national stockpiling is its effect on domestic producers (farmers, mills), who cannot properly meet new export demand nor benefit from any global price spikes."" 

#oatt

https://t.co/89jVhLREid",0
"If there was no toilet paper when you went to the grocery store, the CDC recommends just holding it for a few weeks. #Covid_19 #CoronaOutbreak",0
 all i hear is blah blah blah ....you shoulda used that $400 to buy a @burningman ticket instead. &amp; ill be driving there not flying,0
When people that were out here not taking COVID-19 serious get stuck indoors with no food because they decided it wasnt necessary to stock up &gt;&gt;&gt;&gt; ????,1
"Working in a grocery store, I get to see all the problematic social behavior in relation to Covid-19. STOP PUTTING YOUR FUCKING HANDS ON EACH OTHER. I watched someone put their hands all over a baby's face. Stop that shit. If you don't NEED anything from the store, DON'T GO.",0
"@CTSenateGOP I have a coworker getting tested for COVID-19 today, we are an ""essential"" cellular retail store. We still have had older people coming in for bill pays (that you can do online or over the phone) and simple questions that are not essential at",2
 took our BOS to BWI plane for a flight to StL and promised a replacement  1.5 hours Late Flightr. Now 2.5 hours delayed. Not happy.,0
Coronavirus Crisis Pushing Gas Prices Down In Massachusetts https://t.co/io3qQPhHcV https://t.co/wQMzVDVla8,0
I went to the grocery store today because I am still working and my family is at home. It was my first trip out in public in a week besides to work &amp; back. I was shocked to see how crowded the store was and am even more worried that #Covid_19 is going to hit Oklahoma very hard.,0
"""6 million tons of food is thrown away each year in the UK. 70% of that is edible. Stop doing that now and it's the equivalent of putting it on supermarket shelves for others."" #coronavirus #stopstockpiling",0
"@nileshkal @AAHealth As a grocery store employee, I respectfully request that employees, truck drivers and managers of grocery stores have access to #testing of #coronavirus ASAP and for the continuation of that access until a vaccine is available. #DontB",1
 what is going on with your BDL to DCA flights yesterday and today?! Why is every single one getting delayed?,0
"A glimpse of the grocery stores craze in Malaysia.. No pasta stock, meats, or even canned food, they only left us with the deadly korean spicy noodles.. 

#Coronavirus #COVID19 #COVID?19 https://t.co/RA3zNFTiRL",0
  just be prepared for a claim if that bag is lost ... Too many valuables to carry in my hands. #us2146 to #aa2924,0
KROGER Two Kroger supermarket employees who need to self quarantine because they are at high risk of contracting COVID 19 say that the chain is refusing to provide them with emergency paid leave,0
Plesse take care of poor hawkers daily wagers old people around your area for next 21 days and more Please provide them food and other necessary items Please dont stock more than you need Feed others  ,1
"Me in the grocery store: Why didn't they buy nuts? Nuts are healthy. 
My mom: Don't tell them that or we don't have nuts anymore. #coronavirus #COVID2019 #whyarepeoplelikethat",0
 I have many allergies and want to know if I can bring an 8oz. bottle of Benadryl on the flight along with my 2 epipens?,2
"SINCE the #coronavirus has started I have ..Been yelled at by a crazy woman following me around the store ..Yelled at by a crazy drunk man in a grocery store..Heard ...just recently that a old lady whacked a Wal-Mart employee in the face with her 
 Pocket book and got arrested.",0
Hi everyone I am looking to speak to anyone who works in a supermarket in Essex and how the current pandemic is affecting you Drop me a message or a comment below if you are able to have a chat Thanks so much and take care,1
"@SPIEGEL_Politik Nothing changes for the reasonable , supermarket, bank, doctor, pharmacy can be visited, otherwise social contacts are reduced.  For those who do not accept the rules, be it stupidity or ignorance, there is a legal basis with the curfew.",0
"I just mean if anyone is going to get it, it is these people who have been taking lots of abuse, especially grocery store staff, for what? Minimum wage? If anyone is making money, its definitely these stores... only makes sense #covid19Canada #coronavirus #PEI",0
 broke the stroller my wife and baby gate checked. They told her it's not their problem. Calling the A List Preferred line now.,0
Russians have been applying for consumer credit and mortgages in greater numbers due to fears that prices and rates will soon increase,1
"Some silver linings during this covid-19 crisis...
1) Less traffic in LA
2) Gas prices are down
3) Less smog throughout the city
4) Social distancing from your Toxic Ex",0
