,text,summary
0,"Gordon is accused of “bizarre” and “aggressive” behavior during the incident Tuesday morning in Stamford, cops told the Daily News.",Gordon's Aggressive Behavior Accusation
1,"Last month, Florida joined a growing number of states in banning sales taxes on diapers to make them more affordable for older adults and families with young children. Though diapers are essential …",Florida Bans Diaper Sales Tax
2,Police released footage involving the arrest of a high school band director who was arrested after officers say he refused to comply with orders to stop playing.,"Band Director Arrested, Footage Released"
3,"If the former president joins the main stage, he'll be required to support the eventual nominee.",Former President's Conditional Participation
4,(Bloomberg) -- Some bond-market bets are signaling that the inflation rate will fall close to the Federal Reserve’s 2% target in the next year. A growing number of Wall Street asset managers are saying that’s a pipe dream.Most Read from BloombergZelenskiy’s Surprise G-7 Stop Un,Inflation Rate Decline Skepticism
5,"EXCLUSIVE — The Biden administration’s failure to crack down on the increase of unauthorized vaping devices coming into the United States from China could become a political liability for the president as he seeks a second term in 2024, polling shows.",Biden's Vaping Policy Criticized
6,"A 16-year-old girl was arrested on suspicion of trying to smuggle $100,000 worth of marijuana into the US from Mexico . The teenager was detained with two women, aged 23 and 24, after officers allegedly found 185 pound haul in their Volkswagen sedan. A narcotics detection dog patrolling the boarder crossing in the Port of Lukesville, Arizona, picked out the vehicle for a secondary search, according to azcentral.com. A 16-year-old girl has been arrested trying to smuggle 12 bags of marijuana into the US from Mexico . Officers from US Customs and Border Protection (CBP) officers examined the car and discovered 12 packages of marijuana. The find was said to be worth an estimated $92,550, according to a spokesman for the CBP. The teenager from Glendale, Arizona, who was reportedly driving the car, and the two women were not named by officials. Both the drugs and the dark coloured sedan were seized as part of the investigation. The trio have now been referred to immigration and Customs Enforcement's Homeland Security Investigations. Cannabis was legalized in the state of Arizona for medical use in 2010 following a ballot. A growing number of states, including Oregon, Washington, Colorado, and Alaska, have voted to allow people to possess limited amounts of marijuana. Supporters of the legalization campaign in Arizona hope to have a vote on the issue next year. Cannabis was legalized in the state of Arizona for medical use in 2010 following a ballot (file picture)","Arizona teen arrested for allegedly trying to smuggle marijuana into the US .
Girl,16, and two women in their 20s stopped by officials at Port Lukeville .
Customs and Border Protection said to have found 185lb of the drug ."
7,"Two years after becoming the epicenter of the parental rights movement, voters in the wealthy exurban Virginia county of Loudoun are poised to elect a new school board for the first time in four years.",Loudoun Elects New School Board
8,"March 18, 2015 . Israelis have voted in a globally significant election. U.S. aid workers who've been exposed to an Ebola patient are being monitored. ISIS terrorists have destroyed some of Iraq's treasured artifacts. A professional football player has walked away from a dream job over health concerns. And a roving camera in the shape of a bowling ball could depict the future of surveillance technology. On this page you will find today's show Transcript and a place for you to request to be on the CNN Student News Roll Call. TRANSCRIPT . Click here to access the transcript of today's CNN Student News program. Please note that there may be a delay between the time when the video is available and when the transcript is published. CNN Student News is created by a team of journalists who consider the Common Core State Standards, national standards in different subject areas, and state standards when producing the show. ROLL CALL . For a chance to be mentioned on the next CNN Student News, comment on the bottom of this page with your school name, mascot, city and state. We will be selecting schools from the comments of the previous show. You must be a teacher or a student age 13 or older to request a mention on the CNN Student News Roll Call! Thank you for using CNN Student News!","This page includes the show Transcript .
Use the Transcript to help students with reading comprehension and vocabulary .
At the bottom of the page, comment for a chance to be mentioned on CNN Student News.  You must be a teacher or a student age 13 or older to request a mention on the CNN Student News Roll Call."
9,"A New York teen who lost everything in Hurricane Sandy has been accepted to seven Ivy League schools. Daria Rose, 18, immersed herself in her studies after she and her family lost everything -- including their home -- when the superstorm hit in October 2012. And after a difficult high school experience, the 18-year-old has a bright future ahead of her. The Hempstead teen has been accepted into all seven of the Ivy League schools she applied to, ABC news reports. Scroll down for video . Acceptance: New York teen Daria Rose (photographed) lost everything in Hurricane Sandy and was recently accepted to seven Ivy League schools . Dreams: The frequent moves Rose and her family underwent after the superstorm made finishing school work difficult for Rose, but she never gave up on her dream of attending an Ivy League school . 'I was like, oh my God, I just got into Harvard,' Rose told ABC 7. 'Then I checked Princeton, and I was like, oh my God I, just got into Princeton. And I checked Brown, I got in. It just kept going and going.' Rose did not apply to Columbia, according to ABC. Rose and her family lived in several hotels as well as her grandmother's house after being forced to evacuate their home in Baldwin, which was destroyed, ABC News reports. After more than a year, the family moved into a new home in Baldwin. Although the frequent moves made finishing school work difficult, Rose said, she never gave up on her dream of attending an Ivy League school. 'I was living in these small spaces but in my head I was able to escape,' Rose said 'find myself in a literary world.' Rose wrote about her Hurricane Sandy experience in a college application essay in which she talked about the storm and how reading helped her cope. Secure: A college essay about her experience helped Rose to secure a spot in Yale, Harvard, Princeton, Dartmouth, University of Pennsylvania, Cornell, and Brown . Blessing: Rose's mother, Katrina Brooks (left), said that the family's experience turned out to be a blessing because the teen had something substantial to write to the schools' admissions offices . The essay helped the Sacred Heart Academy student secure a spot in Yale, Harvard, Princeton, Dartmouth, University of Pennsylvania, Cornell, and Brown. 'After moving so much and meeting so many different people, I learned I can adapt and adjust to all these different situations and people,' Rose told ABC 7. Rose's mother, Katrina Brooks, said that the family's experience turned out to be a blessing because it provided the teen with something substantial to write to the schools' admissions offices. 'It's easy to say 'I'm just going to lay here in a ball and cry and wallow in my own self pity,'' Brooks said. 'I'd make sure she'd get up and put one foot in front of the other.' Destroyed: Rose and her family lived in several hotels as well as her grandmother's house after being forced to evacuate their home in Baldwin (photographed), which was destroyed . New Home: After more than a year, the family moved into a new home in Baldwin (photographed is wreckage of Rose's home following the storm) While Rose said she had always leaned toward Yale, in her junior year of high school, she began looking at other options and decided to apply to the seven schools. Rose applied to seven of the eight Ivy League schools and, on March 31, the schools posted their decisions online, according to ABC. 'They're all such great schools,' Rose said. '[I'll] try to see where I'll fit in the best.' Rose said she plans to study political science and Russian literature. She has until May 1 to decided where she will attend.","New York teen Daria Rose lost everything in Hurricane Sandy and was recently accepted to seven Ivy League schools .
Rose and her family lived in multiple hotels and at her grandmother's house for a year and a half after the 2012 superstorm .
In a college application essay, Rose spoke of her Hurricane Sandy experience ."
